STUSAB;SUMLEV;COUNTY;COUSUB;PLACE;GEOID2;CHGOCA;TRACT;NAME;NHW;NHB;NHAM;NHAS;NHOTHER;HISP;MULTI;TOTAL;P003001;P003002;P003003;P003004;P003005;P003006;P003007;P003008;P005001;P005002;P005003;P005004;P005005;P005006;P005007;P005008;P005009;P005010;P005011;P005012;P005013;P005014;P005015;P005016;P005017;P006001;P006002;P006003;P006004;P006005;P006006;P006007;PCT05001;PCT05002;PCT05003;PCT05004;PCT05005;PCT05006;PCT05007;PCT05008;PCT05009;PCT05010;PCT05011;PCT05012;PCT05013;PCT05014;PCT05015;PCT05016;PCT05017;PCT05018;PCT05019;PCT05020;PCT05021;PCT05022;PCT11003;PCT11004;PCT11005;PCT11006;PCT11007;PCT11008;PCT11009;PCT11010;PCT11011;PCT11012;PCT11013;PCT11014;PCT11015;PCT11016;PCT11017;PCT11018;PCT11019;PCT11020;PCT11021;PCT11022;PCT11023;PCT11024;PCT11025;PCT11026;PCT11027;PCT11028;PCT11029;PCT11030;PCT11031;
;;;;;;;;;White alone, not Hispanic or Latino;Black or African American alone, not Hispanic or Latino;American Indian and Alaska Native alone, not Hispanic or Latino;Asian alone, not Hispanic or Latino;Other single race alone, not Hispanic or Latino;Hispanic or Latino;Two or more races, not Hispanic or Latino;Total;Total;White alone;Black or African American alone;American Indian and Alaska Native alone;Asian alone;Native Hawaiian and other Pacific Islander alone;Some other race alone;Two or more races;Total;Not Hispanic or Latino [subtotal];White alone, not Hispanic or Latino;Black or African American alone, not Hispanic or Latino;American Indian and Alaska Native alone, not Hispanic or Latino;Asian alone, not Hispanic or Latino;Native Hawaiian and other Pacific Islander alone, not Hispanic or Latino;Some other race alone, not Hispanic or Latino;Two or more races, not Hispanic or Latino;Hispanic or Latino [subtotal];White alone, Hispanic or Latino;Black or African American alone, Hispanic or Latino;American Indian and Alaska Native alone, Hispanic or Latino;Asian alone, Hispanic or Latino;Native Hawaiian and other Pacific Islander alone, Hispanic or Latino;Some other race alone, Hispanic or Latino;Two or more races, Hispanic or Latino;Total races tallied;White alone or in combination with one or more other races;Black or African American alone or in combination with one or more other races;American Indian and Alaska Native alone or in combination with one or more other races;Asian alone or in combination with one or more other races;Native Hawaiian and other Pacific Islander alone or in combination with one or more other races;Some other race alone or in combination with one or more other races;Asian alone with one Asian category;Asian Indian;Bangladeshi;Bhutanese;Burmese;Cambodian;Chinese (except Taiwanese);Filipino;Hmong;Indonesian;Japanese;Korean;Laotian;Malaysian;Nepalese;Pakistani;Sri Lankan;Taiwanese;Thai;Vietnamese;Other Asian, specified;Other Asian, not specified;Hispanic or Latino by specific origin;Mexican;Puerto Rican Cuban;Cuban;Dominican;Central American (excluding Mexican) [subtotal];Costa Rican;Guatemalan;Honduran;Nicaraguan;Panamanian;Salvadoran;Other Central American;South American [subtotal];Argentinean;Bolivian;Chilean;Colombian;Ecuadorian;Paraguayan;Peruvian;Uruguayan;Venezuelan;Other South American;Other Hispanic or Latino [subtotal];Spaniard;Spanish;Spanish American;All other Hispanic or Latino;
IL;080;031;14000;14000;08080300;08;080300;CA 08 Tract 080300;3453;264;3;322;11;192;70;4315;4315;3590;266;5;327;2;39;86;4315;4123;3453;264;3;322;2;9;70;192;137;2;2;5;0;30;16;4414;3665;294;18;381;3;53;318;128;0;0;0;1;47;57;0;0;14;40;0;0;0;13;0;3;4;8;0;3;192;93;32;14;1;15;1;4;2;2;5;1;0;17;3;1;2;6;2;0;1;0;1;1;20;8;1;0;11;
IL;080;031;14000;14000;08080400;08;080400;CA 08 Tract 080400;1493;2543;3;94;9;117;58;4317;4317;1545;2568;4;94;1;29;76;4317;4200;1493;2543;3;94;1;8;58;117;52;25;1;0;0;21;18;4400;1603;2606;19;123;3;46;93;29;0;0;0;0;24;9;0;0;6;17;0;0;0;1;0;0;0;4;1;2;117;46;32;5;0;3;0;0;0;0;1;1;1;12;1;0;8;2;1;0;0;0;0;0;19;3;3;0;13;
IL;080;031;14000;14000;08081000;08;081000;CA 08 Tract 081000;5389;909;10;676;17;422;123;7546;7546;5672;925;11;684;2;105;147;7546;7124;5389;909;10;676;2;15;123;422;283;16;1;8;0;90;24;7715;5797;991;42;737;8;140;677;254;3;0;0;0;137;59;3;3;36;112;0;3;1;10;0;17;21;7;0;11;422;163;78;21;14;33;4;8;5;1;8;7;0;60;7;3;1;17;5;1;15;0;10;1;53;25;5;1;22;
IL;080;031;14000;14000;08081100;08;081100;CA 08 Tract 081100;2576;458;5;337;13;197;54;3640;3640;2713;466;6;337;4;49;65;3640;3443;2576;458;5;337;4;9;54;197;137;8;1;0;0;40;11;3710;2768;496;18;358;7;63;328;106;2;0;0;1;67;23;1;1;17;47;0;0;0;11;2;26;8;5;2;9;197;86;30;11;0;5;2;1;0;1;0;1;0;46;6;0;4;14;6;0;5;0;11;0;19;14;1;0;4;
IL;080;031;14000;14000;08081201;08;081201;CA 08 Tract 081201;3285;172;2;316;10;207;67;4059;4059;3422;175;2;318;1;59;82;4059;3852;3285;172;2;316;1;9;67;207;137;3;0;2;0;50;15;4147;3493;198;11;362;7;76;311;83;1;0;0;5;80;47;0;2;18;42;0;1;0;7;0;7;6;4;2;6;207;82;38;16;3;6;1;1;0;1;0;3;0;32;7;3;5;6;7;0;2;0;2;0;30;14;6;0;10;
IL;080;031;14000;14000;08081202;08;081202;CA 08 Tract 081202;2621;73;4;133;0;123;41;2995;2995;2713;74;4;135;0;25;44;2995;2872;2621;73;4;133;0;0;41;123;92;1;0;2;0;25;3;3040;2754;84;9;164;0;29;131;38;0;0;0;0;29;16;1;0;10;11;0;0;1;7;2;2;8;3;0;3;123;52;12;7;1;9;1;3;3;0;2;0;0;20;4;0;0;9;1;1;3;2;0;0;22;8;10;0;4;
IL;080;031;14000;14000;08081300;08;081300;CA 08 Tract 081300;3968;173;1;479;7;187;69;4884;4884;4110;179;2;485;0;30;78;4884;4697;3968;173;1;479;0;7;69;187;142;6;1;6;0;23;9;4965;4172;193;7;545;3;45;477;143;0;0;0;1;145;58;0;2;27;50;0;1;0;7;1;15;6;9;0;12;187;77;17;19;0;12;2;2;1;0;7;0;0;46;20;1;0;13;1;0;8;1;2;0;16;8;3;0;5;
IL;080;031;14000;14000;08081401;08;081401;CA 08 Tract 081401;1644;127;1;342;4;122;39;2279;2279;1733;130;6;343;0;19;48;2279;2157;1644;127;1;342;0;4;39;122;89;3;5;1;0;15;9;2329;1774;141;11;372;0;31;331;109;3;0;0;0;68;37;0;2;25;46;2;0;0;10;0;15;8;2;0;4;122;48;13;4;0;6;1;2;0;1;2;0;0;35;8;2;1;14;3;0;3;0;4;0;16;6;3;0;7;
IL;080;031;14000;14000;08081402;08;081402;CA 08 Tract 081402;2863;272;8;781;10;209;100;4243;4243;3027;280;8;784;3;37;104;4243;4034;2863;272;8;781;1;9;100;209;164;8;0;3;2;28;4;4352;3108;303;19;859;6;57;773;378;4;0;0;1;144;50;0;1;26;90;3;0;0;14;2;28;6;16;1;9;209;79;20;16;0;8;1;0;0;1;4;0;2;52;18;0;6;13;2;0;7;0;6;0;34;22;7;0;5;
IL;080;031;14000;14000;08081403;08;081403;CA 08 Tract 081403;4102;261;0;1344;21;359;142;6229;6229;4384;276;0;1349;6;57;157;6229;5870;4102;261;0;1344;6;15;142;359;282;15;0;5;0;42;15;6391;4526;304;16;1467;8;70;1327;609;6;0;3;4;235;102;2;3;52;180;0;2;1;30;6;41;20;18;2;11;359;119;43;25;2;12;2;0;2;4;2;2;0;100;25;4;12;28;10;0;5;1;15;0;58;27;9;0;22;
IL;080;031;14000;14000;08081500;08;081500;CA 08 Tract 081500;3232;143;5;696;12;208;83;4379;4379;3398;147;11;698;4;30;91;4379;4171;3232;143;5;696;4;8;83;208;166;4;6;2;0;22;8;4472;3473;167;20;759;9;44;682;308;2;0;0;1;126;52;0;5;28;99;0;1;0;22;0;14;4;11;5;4;208;98;8;15;2;13;5;3;1;0;3;1;0;44;12;2;0;5;9;0;5;1;10;0;28;20;5;0;3;
IL;080;031;14000;14000;08081600;08;081600;CA 08 Tract 081600;2687;122;3;481;10;181;61;3545;3545;2811;125;4;481;1;60;63;3545;3364;2687;122;3;481;1;9;61;181;124;3;1;0;0;51;2;3615;2863;139;15;525;8;65;477;211;1;0;0;1;82;53;0;1;36;64;1;0;0;5;0;9;2;10;0;1;181;83;20;17;5;5;0;1;0;2;1;1;0;27;9;1;2;6;6;0;1;0;2;0;24;13;5;0;6;
IL;080;031;14000;14000;08081700;08;081700;CA 08 Tract 081700;1969;315;9;399;6;318;86;3102;3102;2119;321;13;403;0;139;107;3102;2784;1969;315;9;399;0;6;86;318;150;6;4;4;0;133;21;3213;2207;354;26;457;6;163;394;157;2;0;1;1;76;26;0;0;20;63;0;0;1;9;1;15;7;10;0;5;318;122;21;15;0;15;0;7;2;3;1;2;0;102;8;0;0;5;78;0;4;0;5;2;43;12;4;0;27;
IL;080;031;14000;14000;08081800;08;081800;CA 08 Tract 081800;5566;174;6;695;20;295;110;6866;6866;5783;175;6;700;0;69;133;6866;6571;5566;174;6;695;0;20;110;295;217;1;0;5;0;49;23;7009;5892;206;19;787;7;98;685;331;3;0;1;0;102;71;0;6;20;91;1;0;0;16;1;8;19;6;2;7;295;123;28;34;9;10;1;2;1;1;3;2;0;65;17;4;3;6;10;4;8;0;12;1;26;8;6;0;12;
IL;080;031;14000;14000;08081900;08;081900;CA 08 Tract 081900;414;542;0;54;0;23;20;1053;1053;428;542;0;54;0;9;20;1053;1030;414;542;0;54;0;0;20;23;14;0;0;0;0;9;0;1076;438;553;6;67;0;12;54;22;0;0;0;0;6;8;0;0;2;12;0;0;0;1;0;0;2;1;0;0;23;5;8;0;1;1;0;0;1;0;0;0;0;6;0;0;0;2;3;0;0;1;0;0;2;2;0;0;0;
IL;080;031;14000;14000;08838300;08;838300;CA 08 Tract 838300;419;854;8;153;7;173;17;1631;1631;480;861;8;157;3;84;38;1631;1458;419;854;8;153;3;4;17;173;61;7;0;4;0;80;21;1678;502;890;20;165;5;96;154;62;0;0;6;0;10;21;0;0;0;33;0;1;0;11;0;3;2;1;0;4;173;62;22;1;0;4;0;0;4;0;0;0;0;53;0;0;2;1;44;0;5;0;1;0;31;4;4;0;23;
IL;080;031;14000;14000;08842200;08;842200;CA 08 Tract 842200;1205;1007;4;208;2;135;42;2603;2603;1292;1016;5;208;0;22;60;2603;2468;1205;1007;4;208;0;2;42;135;87;9;1;0;0;20;18;2672;1328;1048;22;229;5;40;202;71;0;0;0;0;33;37;0;0;5;36;0;0;0;3;2;6;1;4;0;4;135;67;20;10;0;10;2;6;2;0;0;0;0;15;2;0;0;6;1;1;5;0;0;0;13;3;1;0;9;
IL;070;;14000;14000;09;09;;CA 09;9885;29;3;269;9;872;120;11187;11187;10506;34;9;277;3;183;175;11187;10315;9885;29;3;269;1;8;120;872;621;5;6;8;2;175;55;11371;10677;62;45;355;10;222;269;48;0;0;0;8;24;106;0;0;20;32;0;0;0;1;4;0;12;5;1;8;872;448;214;38;1;57;0;24;1;0;7;21;4;76;3;0;1;28;19;0;23;0;2;0;38;20;5;1;12;
IL;080;031;14000;14000;09090100;09;090100;CA 09 Tract 090100;2979;9;1;103;6;274;33;3405;3405;3175;11;6;107;0;54;52;3405;3131;2979;9;1;103;0;6;33;274;196;2;5;4;0;48;19;3459;3226;24;11;125;2;71;106;15;0;0;0;4;3;41;0;0;4;16;0;0;0;1;0;0;11;5;1;5;274;134;75;16;0;17;0;10;0;0;1;6;0;21;0;0;0;9;10;0;2;0;0;0;11;6;4;0;1;
IL;080;031;14000;14000;09090200;09;090200;CA 09 Tract 090200;5757;18;0;136;3;492;71;6477;6477;6108;21;1;140;3;103;101;6477;5985;5757;18;0;136;1;2;71;492;351;3;1;4;2;101;30;6584;6206;33;27;188;8;122;134;27;0;0;0;4;17;54;0;0;13;12;0;0;0;0;4;0;1;0;0;2;492;257;120;17;1;30;0;10;1;0;2;13;4;46;3;0;1;15;7;0;18;0;2;0;21;9;1;1;10;
IL;080;031;14000;14000;09090300;09;090300;CA 09 Tract 090300;1149;2;2;30;0;106;16;1305;1305;1223;2;2;30;0;26;22;1305;1199;1149;2;2;30;0;0;16;106;74;0;0;0;0;26;6;1328;1245;5;7;42;0;29;29;6;0;0;0;0;4;11;0;0;3;4;0;0;0;0;0;0;0;0;0;1;106;57;19;5;0;10;0;4;0;0;4;2;0;9;0;0;0;4;2;0;3;0;0;0;6;5;0;0;1;
IL;080;031;14000;14000;09805600;09;805600;CA 09 Tract 805600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
IL;070;;14000;14000;10;10;;CA 10;30157;164;54;1696;39;4442;471;37023;37023;33000;192;88;1728;4;1210;801;37023;32581;30157;164;54;1696;1;38;471;4442;2843;28;34;32;3;1172;330;37860;33742;297;233;2048;33;1507;1695;255;0;0;0;15;233;798;0;1;49;81;5;0;2;32;0;2;32;163;7;20;4442;2249;1183;160;21;209;1;125;35;10;9;26;3;418;21;17;8;110;168;0;71;3;17;3;202;85;33;0;84;
IL;080;031;14000;14000;10100100;10;100100;CA 10 Tract 100100;4165;38;20;261;12;743;74;5313;5313;4649;41;28;265;1;228;101;5313;4570;4165;38;20;261;0;12;74;743;484;3;8;4;1;216;27;5419;4742;65;56;299;3;254;262;22;0;0;0;4;54;120;0;0;6;27;0;0;0;12;0;0;3;13;0;1;743;366;184;28;0;34;0;21;9;0;0;4;0;72;2;4;3;13;35;0;11;0;4;0;59;24;9;0;26;
IL;080;031;14000;14000;10100200;10;100200;CA 10 Tract 100200;5657;26;11;157;12;791;95;6749;6749;6216;27;24;157;1;201;123;6749;5958;5657;26;11;157;1;11;95;791;559;1;13;0;0;190;28;6877;6329;52;47;217;7;225;152;25;0;0;0;0;21;65;0;0;6;14;0;0;0;5;0;0;2;9;3;2;791;457;185;26;1;30;0;28;0;1;1;0;0;60;1;1;1;15;24;0;17;0;0;1;32;5;13;0;14;
IL;080;031;14000;14000;10100300;10;100300;CA 10 Tract 100300;5264;22;4;217;0;600;70;6177;6177;5704;29;4;218;0;113;109;6177;5577;5264;22;4;217;0;0;70;600;440;7;0;1;0;113;39;6292;5807;45;36;259;4;141;211;45;0;0;0;0;20;102;0;1;12;14;0;0;2;1;0;2;3;5;4;0;600;314;159;24;10;39;0;17;6;7;3;6;0;29;2;1;0;14;7;0;5;0;0;0;25;15;2;0;8;
IL;080;031;14000;14000;10100400;10;100400;CA 10 Tract 100400;2565;9;2;117;1;340;32;3066;3066;2792;14;5;118;0;77;60;3066;2726;2565;9;2;117;0;1;32;340;227;5;3;1;0;76;28;3126;2844;18;7;146;4;107;115;18;0;0;0;0;25;44;0;0;5;4;0;0;0;0;0;0;0;19;0;0;340;132;136;6;6;7;0;5;0;0;0;2;0;43;3;5;0;13;18;0;1;0;3;0;10;4;4;0;2;
IL;080;031;14000;14000;10100500;10;100500;CA 10 Tract 100500;4734;26;7;302;11;600;99;5779;5779;5083;26;11;315;0;190;154;5779;5179;4734;26;7;302;0;11;99;600;349;0;4;13;0;179;55;5941;5219;47;34;384;9;248;313;70;0;0;0;0;37;155;0;0;7;8;0;0;0;5;0;0;6;22;0;3;600;301;153;22;4;36;0;10;16;2;1;7;0;57;5;3;0;17;23;0;2;0;7;0;27;13;1;0;13;
IL;080;031;14000;14000;10100600;10;100600;CA 10 Tract 100600;3766;29;6;284;3;690;54;4832;4832;4179;36;7;293;2;205;110;4832;4142;3766;29;6;284;0;3;54;690;413;7;1;9;2;202;56;4947;4284;39;34;338;4;248;287;36;0;0;0;5;31;127;0;0;4;10;5;0;0;0;0;0;5;54;0;10;690;322;196;26;0;39;1;30;4;0;1;1;2;78;6;3;0;17;28;0;22;0;0;2;29;16;4;0;9;
IL;080;031;14000;14000;10100700;10;100700;CA 10 Tract 100700;3768;14;4;339;0;657;44;4826;4826;4119;19;8;343;0;196;141;4826;4169;3768;14;4;339;0;0;44;657;351;5;4;4;0;196;97;4974;4256;31;18;383;2;284;336;33;0;0;0;6;45;180;0;0;7;3;0;0;0;4;0;0;13;41;0;4;657;351;163;28;0;24;0;14;0;0;3;6;1;75;0;0;4;21;32;0;13;2;3;0;16;6;0;0;10;
IL;080;031;14000;14000;10810400;10;810400;CA 10 Tract 810400;238;0;0;19;0;21;3;281;281;258;0;1;19;0;0;3;281;260;238;0;0;19;0;0;3;21;20;0;1;0;0;0;0;284;261;0;1;22;0;0;19;6;0;0;0;0;0;5;0;0;2;1;0;0;0;5;0;0;0;0;0;0;21;6;7;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;1;0;0;1;0;0;4;2;0;0;2;
IL;070;;14000;14000;11;11;;CA 11;17475;265;71;2256;43;4927;411;25448;25448;20088;310;142;2278;27;1842;761;25448;20521;17475;265;71;2256;11;32;411;4927;2613;45;71;22;16;1810;350;26243;20739;445;254;2593;67;2145;2228;188;8;0;0;85;163;911;1;1;79;90;15;1;0;47;0;2;39;568;12;18;4927;2545;1220;177;21;347;7;224;47;3;3;63;0;466;21;15;1;167;178;0;59;0;12;13;151;26;15;0;110;
IL;080;031;14000;14000;11110100;11;110100;CA 11 Tract 110100;3845;60;14;378;7;845;105;5254;5254;4294;71;23;382;8;303;173;5254;4409;3845;60;14;378;1;6;105;845;449;11;9;4;7;297;68;5449;4442;99;66;466;21;355;365;40;0;0;0;34;21;159;0;0;14;11;0;0;0;7;0;0;3;62;7;7;845;434;196;39;0;66;0;49;3;1;0;13;0;63;0;2;0;26;24;0;8;0;3;0;47;6;5;0;36;
IL;080;031;14000;14000;11110200;11;110200;CA 11 Tract 110200;1976;19;8;258;6;536;25;2828;2828;2244;21;19;262;0;244;38;2828;2292;1976;19;8;258;0;6;25;536;268;2;11;4;0;238;13;2867;2279;33;20;278;1;256;260;12;0;0;0;10;19;120;0;0;5;10;0;0;0;7;0;0;7;68;0;2;536;291;128;18;0;38;4;17;7;0;0;10;0;53;6;1;0;21;13;0;10;0;1;1;8;0;2;0;6;
IL;080;031;14000;14000;11110300;11;110300;CA 11 Tract 110300;3694;41;6;433;7;903;77;5161;5161;4174;45;8;438;5;345;146;5161;4258;3694;41;6;433;1;6;77;903;480;4;2;5;4;339;69;5307;4293;66;18;505;13;412;424;56;0;0;0;9;26;194;0;0;9;12;5;1;0;8;0;0;16;88;0;0;903;486;255;27;4;36;0;20;3;0;0;13;0;73;6;2;1;20;41;0;0;0;3;0;22;7;0;0;15;
IL;080;031;14000;14000;11110400;11;110400;CA 11 Tract 110400;3027;46;6;300;4;901;68;4352;4352;3504;56;34;307;1;307;143;4352;3451;3027;46;6;300;1;3;68;901;477;10;28;7;0;304;75;4497;3635;92;46;352;3;369;301;13;0;0;0;6;24;136;0;1;15;17;1;0;0;1;0;2;1;81;3;0;901;488;225;28;1;46;0;34;3;1;1;7;0;96;2;9;0;36;40;0;7;0;0;2;17;3;5;0;9;
IL;080;031;14000;14000;11110501;11;110501;CA 11 Tract 110501;2832;55;16;560;11;1092;73;4639;4639;3422;67;34;562;2;408;144;4639;3547;2832;55;16;560;2;9;73;1092;590;12;18;2;0;399;71;4789;3548;88;73;612;2;466;556;32;3;0;0;26;34;176;1;0;21;20;1;0;0;17;0;0;8;209;2;6;1092;558;235;44;9;105;3;63;26;1;0;12;0;105;0;0;0;44;35;0;14;0;4;8;36;6;0;0;30;
IL;080;031;14000;14000;11110502;11;110502;CA 11 Tract 110502;2101;44;21;327;8;650;63;3214;3214;2450;50;24;327;11;235;117;3214;2564;2101;44;21;327;6;2;63;650;349;6;3;0;5;233;54;3334;2542;67;31;380;27;287;322;35;5;0;0;0;39;126;0;0;15;20;8;0;0;7;0;0;4;60;0;3;650;288;181;21;7;56;0;41;5;0;2;8;0;76;7;1;0;20;25;0;20;0;1;2;21;4;3;0;14;
IL;070;;14000;14000;12;12;;CA 12;13815;137;22;1989;16;2126;403;18508;18508;15191;154;33;2019;2;548;561;18508;16382;13815;137;22;1989;2;14;403;2126;1376;17;11;30;0;534;158;19095;15684;225;98;2372;22;694;1953;310;10;0;2;44;224;670;1;0;86;211;19;0;1;62;0;6;41;239;6;21;2126;1038;383;127;16;130;6;92;18;3;0;11;0;321;20;15;9;108;94;0;54;2;19;0;111;42;11;2;56;
IL;080;031;14000;14000;12120100;12;120100;CA 12 Tract 120100;3595;24;2;212;4;295;66;4198;4198;3788;26;7;217;2;66;92;4198;3903;3595;24;2;212;2;2;66;295;193;2;5;5;0;64;26;4292;3874;36;21;271;5;85;215;40;0;0;0;0;21;85;0;0;17;25;0;0;0;5;0;3;2;12;2;3;295;129;62;29;5;5;0;5;0;0;0;0;0;48;7;4;1;26;6;0;1;0;3;0;17;10;1;0;6;
IL;080;031;14000;14000;12120200;12;120200;CA 12 Tract 120200;3577;19;9;386;5;354;80;4430;4430;3863;22;13;386;0;38;108;4430;4076;3577;19;9;386;0;5;80;354;286;3;4;0;0;33;28;4542;3953;45;22;451;4;67;366;72;2;0;2;0;50;101;0;0;22;63;0;0;0;9;0;0;8;33;2;2;354;164;64;35;4;7;0;7;0;0;0;0;0;64;6;2;2;34;11;0;7;0;2;0;16;8;2;0;6;
IL;080;031;14000;14000;12120300;12;120300;CA 12 Tract 120300;4601;60;8;904;6;623;163;6365;6365;5036;61;10;920;0;120;218;6365;5742;4601;60;8;904;0;6;163;623;435;1;2;16;0;114;55;6586;5235;77;34;1067;6;167;901;148;8;0;0;24;118;289;0;0;36;96;10;0;0;41;0;3;15;97;0;16;623;293;97;52;7;35;2;26;2;2;0;3;0;107;1;9;6;31;25;0;26;2;7;0;32;19;1;0;12;
IL;080;031;14000;14000;12120400;12;120400;CA 12 Tract 120400;2042;34;3;487;1;854;94;3515;3515;2504;45;3;496;0;324;143;3515;2661;2042;34;3;487;0;1;94;854;462;11;0;9;0;323;49;3675;2622;67;21;583;7;375;471;50;0;0;0;20;35;195;1;0;11;27;9;0;1;7;0;0;16;97;2;0;854;452;160;11;0;83;4;54;16;1;0;8;0;102;6;0;0;17;52;0;20;0;7;0;46;5;7;2;32;
IL;080;031;14000;14000;12807900;12;807900;CA 12 Tract 807900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
IL;080;031;14000;14000;12808100;12;808100;CA 12 Tract 808100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
IL;070;;14000;14000;13;13;;CA 13;8847;573;42;4600;86;3224;559;17931;17931;10450;612;80;4640;17;1327;805;17931;14707;8847;573;42;4600;17;69;559;3224;1603;39;38;40;0;1258;246;18779;11083;748;155;5116;64;1613;4538;917;21;14;27;116;297;1028;0;1;102;843;5;0;4;371;8;4;44;647;46;43;3224;1633;479;127;17;318;23;156;53;17;3;60;6;482;17;2;10;182;197;0;60;7;6;1;168;26;17;0;125;
IL;080;031;14000;14000;13130100;13;130100;CA 13 Tract 130100;3158;49;3;1407;19;352;145;5133;5133;3393;51;7;1415;2;84;181;5133;4781;3158;49;3;1407;2;17;145;352;235;2;4;8;0;67;36;5320;3546;64;21;1546;10;133;1393;186;9;0;0;31;96;327;0;0;29;373;4;0;0;71;0;0;15;237;10;5;352;138;71;20;7;35;4;11;5;12;0;3;0;57;6;0;3;24;19;0;4;0;0;1;24;7;3;0;14;
IL;080;031;14000;14000;13130200;13;130200;CA 13 Tract 130200;870;15;4;174;0;317;32;1412;1412;1033;17;5;179;0;124;54;1412;1095;870;15;4;174;0;0;32;317;163;2;1;5;0;124;22;1470;1080;23;14;201;2;150;175;12;0;0;0;0;11;74;0;1;4;65;0;0;0;0;0;0;2;5;0;1;317;181;67;3;0;16;3;8;4;0;1;0;0;29;0;0;0;11;13;0;5;0;0;0;21;2;5;0;14;
IL;080;031;14000;14000;13130300;13;130300;CA 13 Tract 130300;2003;207;7;1547;34;1098;168;5064;5064;2495;225;18;1564;9;496;257;5064;3966;2003;207;7;1547;9;25;168;1098;492;18;11;17;0;471;89;5335;2687;281;45;1708;19;595;1532;389;0;14;12;25;97;322;0;0;35;173;0;0;4;165;7;4;19;229;12;25;1098;527;159;29;10;110;7;58;12;3;2;27;1;182;8;2;5;97;47;0;16;3;4;0;81;12;6;0;63;
IL;080;031;14000;14000;13831800;13;831800;CA 13 Tract 831800;2816;302;28;1472;33;1457;214;6322;6322;3529;319;50;1482;6;623;313;6322;4865;2816;302;28;1472;6;27;214;1457;713;17;22;10;0;596;99;6654;3770;380;75;1661;33;735;1438;330;12;0;15;60;93;305;0;0;34;232;1;0;0;135;1;0;8;176;24;12;1457;787;182;75;0;157;9;79;32;2;0;30;5;214;3;0;2;50;118;0;35;4;2;0;42;5;3;0;34;
IL;070;;14000;14000;14;14;;CA 14;15054;2076;119;7430;181;25487;1195;51542;51542;26528;2370;383;7543;32;11884;2802;51542;26055;15054;2076;119;7430;22;159;1195;25487;11474;294;264;113;10;11725;1607;54452;28810;2862;708;8493;83;13496;7403;1579;4;0;102;322;289;2829;1;2;121;648;85;5;1;181;5;2;105;999;38;85;25487;16119;2083;303;76;2520;21;1879;268;29;30;284;9;3322;17;16;15;429;2448;1;329;1;39;27;1064;90;66;2;906;
IL;080;031;14000;14000;14140100;14;140100;CA 14 Tract 140100;910;323;1;547;10;1860;78;3729;3729;1808;354;22;567;2;806;170;3729;1869;910;323;1;547;2;8;78;1860;898;31;21;20;0;798;92;3907;1935;386;43;626;7;910;545;49;0;0;6;39;15;248;0;0;5;31;0;4;0;11;0;0;8;114;12;3;1860;1335;115;13;3;158;1;122;12;1;4;18;0;152;0;0;0;15;123;0;14;0;0;0;84;5;24;0;55;
IL;080;031;14000;14000;14140200;14;140200;CA 14 Tract 140200;1888;281;10;981;13;2654;138;5965;5965;3086;306;40;996;1;1227;309;5965;3311;1888;281;10;981;1;12;138;2654;1198;25;30;15;0;1215;171;6287;3328;371;76;1091;8;1413;982;273;3;0;7;32;46;270;0;0;24;158;0;0;0;31;2;1;7;95;4;29;2654;1699;136;16;4;227;12;175;17;7;0;16;0;424;2;3;3;32;344;0;25;1;7;7;148;20;7;0;121;
IL;080;031;14000;14000;14140301;14;140301;CA 14 Tract 140301;364;106;13;735;5;1571;97;2891;2891;981;119;14;736;0;720;321;2891;1320;364;106;13;735;0;5;97;1571;617;13;1;1;0;715;224;3216;1246;150;33;824;4;959;721;395;0;0;34;13;16;160;0;0;3;23;11;0;0;0;3;0;0;61;1;1;1571;1063;68;13;1;144;1;122;6;0;1;14;0;198;0;4;3;31;145;0;14;0;1;0;84;2;0;1;81;
IL;080;031;14000;14000;14140302;14;140302;CA 14 Tract 140302;1269;214;13;1001;11;1698;139;4345;4345;1988;240;32;1005;4;758;318;4345;2647;1269;214;13;1001;1;10;139;1698;719;26;19;4;3;748;179;4668;2253;275;66;1139;7;928;996;242;0;0;1;52;30;368;0;0;22;111;20;0;0;14;0;1;9;110;7;9;1698;967;216;53;16;155;2;114;12;4;2;21;0;225;1;2;1;57;122;0;35;0;1;6;66;6;0;0;60;
