STUSAB;SUMLEV;COUNTY;COUSUB;PLACE;GEOID2;CHGOCA;TRACT;NAME;NHW;NHB;NHAM;NHAS;NHOTHER;HISP;MULTI;TOTAL;P003001;P003002;P003003;P003004;P003005;P003006;P003007;P003008;P005001;P005002;P005003;P005004;P005005;P005006;P005007;P005008;P005009;P005010;P005011;P005012;P005013;P005014;P005015;P005016;P005017;P006001;P006002;P006003;P006004;P006005;P006006;P006007;PCT05001;PCT05002;PCT05003;PCT05004;PCT05005;PCT05006;PCT05007;PCT05008;PCT05009;PCT05010;PCT05011;PCT05012;PCT05013;PCT05014;PCT05015;PCT05016;PCT05017;PCT05018;PCT05019;PCT05020;PCT05021;PCT05022;PCT11003;PCT11004;PCT11005;PCT11006;PCT11007;PCT11008;PCT11009;PCT11010;PCT11011;PCT11012;PCT11013;PCT11014;PCT11015;PCT11016;PCT11017;PCT11018;PCT11019;PCT11020;PCT11021;PCT11022;PCT11023;PCT11024;PCT11025;PCT11026;PCT11027;PCT11028;PCT11029;PCT11030;PCT11031;
;;;;;;;;;White alone, not Hispanic or Latino;Black or African American alone, not Hispanic or Latino;American Indian and Alaska Native alone, not Hispanic or Latino;Asian alone, not Hispanic or Latino;Other single race alone, not Hispanic or Latino;Hispanic or Latino;Two or more races, not Hispanic or Latino;Total;Total;White alone;Black or African American alone;American Indian and Alaska Native alone;Asian alone;Native Hawaiian and other Pacific Islander alone;Some other race alone;Two or more races;Total;Not Hispanic or Latino [subtotal];White alone, not Hispanic or Latino;Black or African American alone, not Hispanic or Latino;American Indian and Alaska Native alone, not Hispanic or Latino;Asian alone, not Hispanic or Latino;Native Hawaiian and other Pacific Islander alone, not Hispanic or Latino;Some other race alone, not Hispanic or Latino;Two or more races, not Hispanic or Latino;Hispanic or Latino [subtotal];White alone, Hispanic or Latino;Black or African American alone, Hispanic or Latino;American Indian and Alaska Native alone, Hispanic or Latino;Asian alone, Hispanic or Latino;Native Hawaiian and other Pacific Islander alone, Hispanic or Latino;Some other race alone, Hispanic or Latino;Two or more races, Hispanic or Latino;Total races tallied;White alone or in combination with one or more other races;Black or African American alone or in combination with one or more other races;American Indian and Alaska Native alone or in combination with one or more other races;Asian alone or in combination with one or more other races;Native Hawaiian and other Pacific Islander alone or in combination with one or more other races;Some other race alone or in combination with one or more other races;Asian alone with one Asian category;Asian Indian;Bangladeshi;Bhutanese;Burmese;Cambodian;Chinese (except Taiwanese);Filipino;Hmong;Indonesian;Japanese;Korean;Laotian;Malaysian;Nepalese;Pakistani;Sri Lankan;Taiwanese;Thai;Vietnamese;Other Asian, specified;Other Asian, not specified;Hispanic or Latino by specific origin;Mexican;Puerto Rican Cuban;Cuban;Dominican;Central American (excluding Mexican) [subtotal];Costa Rican;Guatemalan;Honduran;Nicaraguan;Panamanian;Salvadoran;Other Central American;South American [subtotal];Argentinean;Bolivian;Chilean;Colombian;Ecuadorian;Paraguayan;Peruvian;Uruguayan;Venezuelan;Other South American;Other Hispanic or Latino [subtotal];Spaniard;Spanish;Spanish American;All other Hispanic or Latino;
IL;080;031;14000;14000;07070200;07;070200;CA 07 Tract 070200;3211;131;5;275;9;191;78;3900;3900;3327;132;11;277;0;62;91;3900;3709;3211;131;5;275;0;9;78;191;116;1;6;2;0;53;13;3994;3408;152;16;341;2;75;273;106;0;0;0;1;53;26;0;1;18;43;0;0;0;12;1;5;1;5;0;1;191;103;33;5;2;12;1;7;1;0;0;3;0;27;4;0;2;8;2;1;7;0;3;0;9;1;1;0;7;
IL;080;031;14000;14000;07070300;07;070300;CA 07 Tract 070300;2899;51;3;164;4;170;76;3367;3367;3025;53;4;166;1;29;89;3367;3197;2899;51;3;164;1;3;76;170;126;2;1;2;0;26;13;3459;3100;62;25;221;4;47;160;61;0;0;0;0;35;20;0;0;12;15;0;0;0;7;0;2;0;4;1;3;170;92;25;10;1;9;0;7;1;1;0;0;0;21;3;0;2;10;3;0;2;0;1;0;12;8;3;0;1;
IL;080;031;14000;14000;07070400;07;070400;CA 07 Tract 070400;2510;100;1;124;6;197;46;2984;2984;2646;109;2;124;1;40;62;2984;2787;2510;100;1;124;1;5;46;197;136;9;1;0;0;35;16;3051;2689;121;15;162;4;60;122;26;0;0;0;2;21;23;0;1;9;29;0;1;0;5;0;1;1;1;0;2;197;67;54;23;0;14;1;9;0;0;1;3;0;28;4;2;3;8;4;0;5;1;1;0;11;3;1;0;7;
IL;080;031;14000;14000;07070500;07;070500;CA 07 Tract 070500;2530;97;2;97;5;151;46;2928;2928;2647;97;2;100;2;25;55;2928;2777;2530;97;2;97;0;5;46;151;117;0;0;3;2;20;9;2985;2697;110;7;135;2;34;98;30;0;0;0;0;19;19;0;1;5;15;0;0;0;2;0;0;3;4;0;0;151;74;35;5;2;5;0;3;1;1;0;0;0;18;3;1;3;5;3;0;1;0;2;0;12;8;0;0;4;
IL;080;031;14000;14000;07070600;07;070600;CA 07 Tract 070600;2511;28;0;148;7;224;63;2981;2981;2630;30;8;150;0;81;82;2981;2757;2511;28;0;148;0;7;63;224;119;2;8;2;0;74;19;3067;2705;45;16;199;4;98;143;58;0;0;0;0;36;15;0;0;6;20;0;0;0;3;0;1;1;2;0;1;224;140;15;9;0;13;0;8;0;0;1;4;0;27;12;2;0;3;0;0;8;0;2;0;20;2;11;0;7;
IL;080;031;14000;14000;07070700;07;070700;CA 07 Tract 070700;2559;200;7;239;9;403;64;3481;3481;2766;212;10;243;0;166;84;3481;3078;2559;200;7;239;0;9;64;403;207;12;3;4;0;157;20;3571;2841;237;25;285;0;183;236;83;0;0;0;3;36;38;0;4;5;40;1;0;0;7;0;1;3;7;5;3;403;174;131;22;1;16;1;5;2;0;4;4;0;29;1;0;0;10;6;0;6;0;2;4;30;11;3;0;16;
IL;080;031;14000;14000;07071000;07;071000;CA 07 Tract 071000;3652;206;3;194;11;297;79;4442;4442;3809;214;3;195;2;121;98;4442;4145;3652;206;3;194;1;10;79;297;157;8;0;1;1;111;19;4543;3894;240;20;247;6;136;190;64;0;0;0;1;38;25;1;1;13;32;3;0;0;3;0;2;2;2;0;3;297;175;30;15;0;19;0;8;10;0;0;1;0;37;2;0;6;12;6;1;10;0;0;0;21;3;3;0;15;
IL;080;031;14000;14000;07071100;07;071100;CA 07 Tract 071100;2479;89;6;139;11;178;42;2944;2944;2590;93;10;141;0;61;49;2944;2766;2479;89;6;139;0;11;42;178;111;4;4;2;0;50;7;2994;2635;109;13;165;1;71;140;43;0;0;0;0;33;18;0;0;9;29;1;1;0;1;0;3;1;1;0;0;178;84;25;6;0;13;1;6;0;1;2;3;0;39;0;1;2;13;9;0;12;0;2;0;11;0;6;0;5;
IL;080;031;14000;14000;07071200;07;071200;CA 07 Tract 071200;1594;64;1;88;2;116;41;1906;1906;1679;64;1;90;0;22;50;1906;1790;1594;64;1;88;0;2;41;116;85;0;0;2;0;20;9;1957;1723;71;2;126;2;33;85;33;0;0;2;1;18;6;0;0;6;13;1;0;0;1;0;2;0;1;0;1;116;44;24;13;1;1;0;1;0;0;0;0;0;16;2;1;0;3;8;0;1;0;1;0;17;11;0;0;6;
IL;080;031;14000;14000;07071300;07;071300;CA 07 Tract 071300;3066;53;2;203;10;129;50;3513;3513;3148;54;3;204;0;45;59;3513;3384;3066;53;2;203;0;10;50;129;82;1;1;1;0;35;9;3574;3205;61;18;237;0;53;200;49;0;0;0;1;65;22;0;0;11;30;0;0;0;5;1;7;5;4;0;0;129;60;15;7;0;7;1;2;0;0;1;3;0;26;8;4;2;7;2;0;1;0;2;0;14;9;1;0;4;
IL;080;031;14000;14000;07071400;07;071400;CA 07 Tract 071400;3716;255;4;281;14;214;86;4570;4570;3888;260;4;281;1;34;102;4570;4356;3716;255;4;281;1;13;86;214;172;5;0;0;0;21;16;4693;3982;290;24;336;14;47;279;87;1;0;1;2;56;37;0;1;20;42;1;2;0;2;0;9;6;8;0;4;214;100;34;12;3;11;0;7;1;0;0;2;1;36;8;0;7;5;8;0;7;0;1;0;18;14;1;0;3;
IL;080;031;14000;14000;07071500;07;071500;CA 07 Tract 071500;4914;271;4;244;16;236;83;5768;5768;5100;282;8;245;10;25;98;5768;5532;4914;271;4;244;10;6;83;236;186;11;4;1;0;19;15;5882;5194;310;26;303;13;36;237;92;0;0;0;1;50;18;1;0;19;31;1;1;0;7;0;4;4;4;0;4;236;106;42;21;2;7;0;2;0;0;5;0;0;33;6;0;7;5;3;0;11;0;1;0;25;15;2;0;8;
IL;080;031;14000;14000;07071600;07;071600;CA 07 Tract 071600;1488;97;3;69;2;83;41;1783;1783;1543;101;3;69;1;20;46;1783;1700;1488;97;3;69;0;2;41;83;55;4;0;0;1;18;5;1832;1583;107;17;95;4;26;68;19;0;0;0;0;17;6;0;0;2;19;0;0;0;0;0;2;3;0;0;0;83;37;21;7;0;0;0;0;0;0;0;0;0;11;6;0;0;3;0;0;1;0;1;0;7;4;1;0;2;
IL;080;031;14000;14000;07071700;07;071700;CA 07 Tract 071700;1279;183;0;64;4;75;47;1652;1652;1330;195;3;64;0;10;50;1652;1577;1279;183;0;64;0;4;47;75;51;12;3;0;0;6;3;1715;1372;218;14;92;5;14;62;8;0;0;0;0;24;4;0;0;5;8;0;0;0;0;0;2;7;2;0;2;75;20;27;0;0;1;0;1;0;0;0;0;0;16;2;1;0;11;1;0;0;0;1;0;11;5;5;0;1;
IL;080;031;14000;14000;07071800;07;071800;CA 07 Tract 071800;1975;410;2;98;4;107;50;2646;2646;2051;416;2;98;6;16;57;2646;2539;1975;410;2;98;0;4;50;107;76;6;0;0;6;12;7;2703;2099;431;6;138;7;22;97;33;0;0;0;0;25;14;0;0;8;5;0;0;0;2;1;0;2;5;0;2;107;42;17;10;4;2;0;1;0;0;0;1;0;23;3;1;2;10;5;0;2;0;0;0;9;3;0;0;6;
IL;080;031;14000;14000;07832500;07;832500;CA 07 Tract 832500;2893;236;3;126;6;273;69;3606;3606;3023;247;7;129;0;99;101;3606;3333;2893;236;3;126;0;6;69;273;130;11;4;3;0;93;32;3710;3106;288;23;166;0;127;129;60;0;0;0;0;30;14;0;0;5;14;0;0;0;1;0;3;1;0;0;1;273;106;93;19;3;14;0;12;0;0;0;1;1;22;3;1;0;5;7;0;5;0;1;0;16;5;4;0;7;
IL;080;031;14000;14000;07832600;07;832600;CA 07 Tract 832600;3329;85;1;129;8;124;51;3727;3727;3420;85;4;130;2;25;61;3727;3603;3329;85;1;129;2;6;51;124;91;0;3;1;0;19;10;3796;3476;100;14;171;2;33;126;39;0;0;0;1;26;15;0;0;7;21;0;0;0;2;0;2;3;6;0;4;124;62;13;13;0;5;0;2;1;1;0;0;1;24;12;0;0;8;1;0;2;0;1;0;7;4;0;0;3;
